Order_ID,Order_Date,Customer_ID,Customer_Name,Age,Gender,City,Product,Category,Quantity,Unit_Price,Total_Sales,Order_Date_Year,Order_Date_Month,Order_Date_Day,Revenue_Category,Age_Group,Purchase_Month_Name,Order_Day_Of_Week,Customer_Sales_Category
Ord100002,2025-02-25,Cust5529,Customer_227,30,Female,Bengaluru,Rice,Grocery,7,2829.77,19808.39,2025,2,25,Low_Revenue,Young Adult,February,Tuesday,Low_Spender
Ord100003,2025-10-14,Cust3127,Customer_182,63,Male,Bengaluru,Book,Education,5,27906.16,139530.8,2025,10,14,Medium_Revenue,Senior,October,Tuesday,Medium_Spender
Ord100004,2025-05-13,Cust8887,Customer_487,62,Female,Bengaluru,Book,Education,8,37491.06,299928.48,2025,5,13,High_Revenue,Senior,May,Tuesday,High_Spender
Ord100005,2025-12-02,Cust2515,Customer_470,65,Female,Kolkata,Mobile,Electronics,9,28541.36,256872.24,2025,12,2,High_Revenue,Senior,December,Tuesday,High_Spender
Ord100006,2025-11-20,Cust4796,Customer_380,44,Male,Bengaluru,Rice,Grocery,10,14036.59,140365.9,2025,11,20,Medium_Revenue,Adult,November,Thursday,Medium_Spender
Ord100007,2025-12-31,Cust3952,Customer_71,40,Female,Hyderabad,Laptop,Electronics,9,35947.47,323527.23,2025,12,31,High_Revenue,Adult,December,Wednesday,High_Spender
Ord100008,2025-10-14,Cust1758,Customer_335,61,Male,Patna,Mobile,Electronics,6,49997.53,299985.18,2025,10,14,High_Revenue,Senior,October,Tuesday,High_Spender
Ord100009,2025-12-05,Cust9622,Customer_224,35,Male,Kolkata,Laptop,Electronics,3,9488.83,28466.49,2025,12,5,Low_Revenue,Young Adult,December,Friday,Low_Spender
Ord100010,2025-11-21,Cust9770,Customer_494,41,Female,Mumbai,Book,Education,6,19488.23,116929.38,2025,11,21,Medium_Revenue,Adult,November,Friday,Medium_Spender
Ord100011,2025-04-16,Cust1312,Customer_40,30,Male,Kolkata,Mobile,Electronics,8,18024.34,144194.72,2025,4,16,Medium_Revenue,Young Adult,April,Wednesday,Medium_Spender
Ord100012,2025-05-05,Cust9642,Customer_162,51,Male,Delhi,Shoes,Fashion,3,14151.42,42454.26,2025,5,5,Low_Revenue,Adult,May,Monday,Low_Spender
Ord100013,2025-05-02,Cust3228,Customer_209,55,Female,Patna,Chair,Furniture,6,47175.43,283052.58,2025,5,2,High_Revenue,Adult,May,Friday,High_Spender
Ord100014,2025-05-06,Cust1038,Customer_454,32,Male,Patna,Rice,Grocery,5,7413.68,37068.4,2025,5,6,Low_Revenue,Young Adult,May,Tuesday,Low_Spender
Ord100015,2025-04-24,Cust6413,Customer_490,50,Female,Patna,Shoes,Fashion,8,12042.52,96340.16,2025,4,24,Medium_Revenue,Adult,April,Thursday,Medium_Spender
Ord100016,2025-03-12,Cust8660,Customer_213,42,Female,Patna,Mobile,Electronics,8,25465.31,203722.48,2025,3,12,High_Revenue,Adult,March,Wednesday,High_Spender
Ord100017,2025-08-30,Cust9307,Customer_313,36,Female,Delhi,Shoes,Fashion,10,20111.09,201110.9,2025,8,30,High_Revenue,Adult,August,Saturday,High_Spender
Ord100018,2025-11-30,Cust4363,Customer_161,30,Female,Delhi,Book,Education,10,40109.12,401091.2,2025,11,30,High_Revenue,Young Adult,November,Sunday,High_Spender
Ord100019,2025-10-19,Cust3508,Customer_67,31,Male,Gaya,Shoes,Fashion,1,7280.64,7280.64,2025,10,19,Low_Revenue,Young Adult,October,Sunday,High_Spender
Ord100020,2025-07-24,Cust5806,Customer_103,57,Female,Mumbai,Chair,Furniture,5,6122.59,30612.95,2025,7,24,Low_Revenue,Senior,July,Thursday,Medium_Spender
Ord100021,2025-03-20,Cust6504,Customer_357,34,Male,Kolkata,Laptop,Electronics,8,23770.36,190162.88,2025,3,20,High_Revenue,Young Adult,March,Thursday,High_Spender
Ord100022,2025-03-18,Cust8908,Customer_190,65,Male,Pune,Shoes,Fashion,1,2344.98,2344.98,2025,3,18,Low_Revenue,Senior,March,Tuesday,Low_Spender
Ord100023,2025-10-04,Cust2903,Customer_122,31,Female,Mumbai,Book,Education,7,15396.37,107774.59,2025,10,4,Medium_Revenue,Young Adult,October,Saturday,Medium_Spender
Ord100024,2025-11-23,Cust1406,Customer_499,52,Male,Gaya,Shoes,Fashion,10,31576.5,315765.0,2025,11,23,High_Revenue,Adult,November,Sunday,High_Spender
Ord100025,2025-09-14,Cust8036,Customer_173,44,Male,Patna,Laptop,Electronics,2,11127.06,22254.12,2025,9,14,Low_Revenue,Adult,September,Sunday,Low_Spender
Ord100026,2025-03-16,Cust6532,Customer_348,30,Male,Pune,Rice,Grocery,7,36069.86,252489.02,2025,3,16,High_Revenue,Young Adult,March,Sunday,High_Spender
Ord100027,2025-04-10,Cust2482,Customer_183,65,Male,Mumbai,Book,Education,9,39414.46,354730.14,2025,4,10,High_Revenue,Senior,April,Thursday,High_Spender
Ord100028,2025-08-01,Cust2003,Customer_48,35,Female,Mumbai,Rice,Grocery,2,23837.41,47674.82,2025,8,1,Low_Revenue,Young Adult,August,Friday,Low_Spender
Ord100029,2025-08-10,Cust6149,Customer_181,32,Female,Patna,Laptop,Electronics,5,14534.79,72673.95,2025,8,10,Medium_Revenue,Young Adult,August,Sunday,Low_Spender
Ord100030,2025-02-05,Cust3688,Customer_205,38,Female,Bengaluru,Mobile,Electronics,10,21393.69,213936.9,2025,2,5,High_Revenue,Adult,February,Wednesday,High_Spender
Ord100031,2025-08-09,Cust3212,Customer_415,33,Male,Gaya,Rice,Grocery,2,21382.16,42764.32,2025,8,9,Low_Revenue,Young Adult,August,Saturday,Low_Spender
Ord100032,2025-05-13,Cust5063,Customer_50,33,Female,Mumbai,Mobile,Electronics,1,15831.03,15831.03,2025,5,13,Low_Revenue,Young Adult,May,Tuesday,Low_Spender
Ord100033,2025-10-22,Cust9565,Customer_350,21,Female,Mumbai,Book,Education,8,21791.66,174333.28,2025,10,22,High_Revenue,Young Adult,October,Wednesday,Medium_Spender
Ord100034,2025-12-04,Cust9325,Customer_352,44,Female,Mumbai,Laptop,Electronics,5,17556.08,87780.4,2025,12,4,Medium_Revenue,Adult,December,Thursday,Medium_Spender
Ord100035,2025-05-03,Cust4002,Customer_388,18,Female,Gaya,Laptop,Electronics,5,46822.84,234114.2,2025,5,3,High_Revenue,Youth,May,Saturday,High_Spender
Ord100036,2025-03-08,Cust8975,Customer_315,36,Female,Gaya,Mobile,Electronics,4,47896.7,191586.8,2025,3,8,High_Revenue,Adult,March,Saturday,High_Spender
Ord100037,2025-02-07,Cust2669,Customer_151,46,Male,Bengaluru,Laptop,Electronics,8,44911.49,359291.92,2025,2,7,High_Revenue,Adult,February,Friday,High_Spender
Ord100038,2025-02-20,Cust5869,Customer_415,23,Male,Delhi,Chair,Furniture,7,40746.79,285227.53,2025,2,20,High_Revenue,Young Adult,February,Thursday,High_Spender
Ord100039,2025-10-20,Cust7249,Customer_144,29,Male,Kolkata,Rice,Grocery,4,4794.08,19176.32,2025,10,20,Low_Revenue,Young Adult,October,Monday,Low_Spender
Ord100040,2025-03-07,Cust7465,Customer_345,58,Female,Bengaluru,Shoes,Fashion,8,29270.98,234167.84,2025,3,7,High_Revenue,Senior,March,Friday,High_Spender
Ord100041,2025-04-21,Cust7988,Customer_383,39,Female,Mumbai,Shoes,Fashion,1,3992.85,3992.85,2025,4,21,Low_Revenue,Adult,April,Monday,Low_Spender
Ord100042,2025-05-31,Cust9953,Customer_484,50,Female,Hyderabad,Mobile,Electronics,5,44365.94,221829.7,2025,5,31,High_Revenue,Adult,May,Saturday,High_Spender
Ord100043,2025-04-20,Cust6938,Customer_344,43,Female,Kolkata,Mobile,Electronics,4,29915.72,119662.88,2025,4,20,Medium_Revenue,Adult,April,Sunday,Medium_Spender
Ord100044,2025-09-22,Cust3006,Customer_256,58,Male,Patna,Chair,Furniture,6,16521.44,99128.64,2025,9,22,Medium_Revenue,Senior,September,Monday,High_Spender
Ord100045,2025-07-04,Cust5151,Customer_409,55,Female,Bengaluru,Rice,Grocery,6,14399.11,86394.66,2025,7,4,Medium_Revenue,Adult,July,Friday,Medium_Spender
